message_id,sender,date,text,views,replies,channel
20044233,5949781266,2026-08-24 08:45:22+00:00,"To start trading, complete Identity Verification and add funds to your Binance account. If you’re new, you can also practise first with Binance Demo Trading using virtual funds. Only trade with funds you can afford to lose.
https://www.binance.com/en/support/faq/detail/9be58f73e5e14338809e3b705b9687dd",,,binanceexchange
20044232,6283677931,2026-08-24 08:45:19+00:00,😁😁,,,binanceexchange
20044231,5949781266,2026-08-24 08:41:22+00:00,"If you mean how to get crypto on Binance, first create an account and complete Identity Verification. You can then tap Add Funds or Buy Crypto and choose an available option, such as a bank transfer, credit/debit card, or P2P. If you already own crypto elsewhere, you may also deposit it into Binance—just make sure the coin and network match. Binance cannot recommend which coin to buy, so please research before making a decision.
https://www.binance.com/en/support/faq/detail/c780097f75dd450a82d17f1e84153276",,,binanceexchange
20044230,5949781266,2026-08-24 08:39:10+00:00,"If the fake account is impersonating Binance, please do not engage with it or share any personal or account information. You may send the profile link and screenshots privately to Binance Support at https://www.binance.com/en/chat

You can also check whether a Binance-related account is official through Binance Verify: https://www.binance.com/en/official-verification",,,binanceexchange
20044227,5949781266,2026-08-24 08:33:45+00:00,"For INR P2P ads, a Verified Merchant may request additional KYC, such as a liveness check, Aadhaar, or PAN, to confirm your identity and that the payment account belongs to you. Do not share documents through Telegram, WhatsApp, or other external channels. 
https://www.binance.com/en/support/faq/detail/7d5e5c8d297c4c148fd87a9b7f9fa813
Any follow up question regrading your transaction, you may contact us at https://www.binance.com/en/chat",,,binanceexchange
20044226,5949781266,2026-08-24 08:30:15+00:00,"Thank you for providing the detailed information and for cooperating throughout the verification process. 

Could you please share your Case ID with us so we can follow up with the relevant team?",,,binanceexchange
20044225,210944655,2026-08-24 08:10:04+00:00,`7301074949` is spamming with codes.,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044224,210944655,2026-08-24 08:10:04+00:00,`7301074949` might be spamming with codes.,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044222,8393629670,2026-08-24 07:56:55+00:00,Morning,,,binanceexchange
20044221,7333355063,2026-08-24 07:55:24+00:00,Gm sir,,,binanceexchange
20044220,977295348,2026-08-24 07:54:24+00:00,Good morning everyone,,"MessageReplies(replies=2, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044253, read_max_id=None)",binanceexchange
20044219,977295348,2026-08-24 07:54:15+00:00,,,"MessageReplies(replies=1, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044221, read_max_id=None)",binanceexchange
20044218,210944655,2026-08-24 07:49:10+00:00,"👩🏼‍💻 Bh Pralhad, are you searching for **Customer Support?**

ℹ️ If you encounter problems while using Binance services, you can seek solutions on Binance Live Chat by clicking [HERE ](https://binance.com/en/chat?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=InfoBot)or from the mobile app. The AI bot will suggest solutions based on the information that you provide. 

ℹ️ **To Talk to CS Agent (Human Operator).
**
**Click ""Unsolved"" after bot gave an answer, followed by ""Not relevant"" button and then you get the option ""Transfer to Customer Service""**

ℹ️ You can also search for answers by visiting the [Binance FAQ](https://www.binance.com/en/support/faq?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=InfoBot) page in English; if you still cannot find a solution, please contact a live operator via Binance Live Chat using the guide from [HERE](https://www.binance.com/en/support/faq/how-to-use-binance-support-7b0fd3ccb821483a99ff8f5cda374ee9?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=InfoBot).

⚠️ Ignore any form of private messages, administrators or angels will NEVER contact you via a private message. Choosing to answer any **private messages** represents a high **security risk**. Block and ignore any requests!",,"MessageReplies(replies=0, replies_pts=29768115, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044217,8012925498,2026-08-24 07:49:09+00:00,#support,,,binanceexchange
20044216,927562222,2026-08-24 07:36:29+00:00,Why p2p merchant is asking for liveness check& my adhar pan card?,,"MessageReplies(replies=4, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044252, read_max_id=None)",binanceexchange
20044215,210944655,2026-08-24 07:16:28+00:00,"Holle | Aster has permanently banned Dora💞
Reason: Xxx",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044203,210944655,2026-08-24 07:01:34+00:00,"ℹ️ As part of our ongoing efforts to better reach users around the world, Binance has created a multitude of community groups for users to socialize. In addition to supporting many major languages on our website and app, we also provide [live customer support in 17 languages](https://www.binance.com/en/support), with 24/7 support available for 10 languages, with those numbers expecting to grow in the future. 

[API ](https://t.me/binance_api_english) |
[AF 🇫🇷](https://t.me/Binance_Afrique) | [AGO 🇦🇴](https://t.me/BinanceAngola) | [AR 🇦🇲](https://t.me/Binance_Armenian) | [ARG 🇦🇷](https://t.me/binanceargentinaoficial) | [AU 🇦🇺](https://t.me/binanceaustralia) | [BD 🇧🇩](https://t.me/BinanceBangladeshi) | [BR 🇧🇷](https://t.me/BinancePortuguese) | [CN 🇨🇳](https://t.me/BinanceChinese) | [EA 🌍](https://t.me/BinanceEastAfrica) | [ES 🇪🇸🌍](https://t.me/BinanceSpanish) | [ESP 🇪🇸](https://t.me/Binance_ESP) | [ETH 🇪🇹](https://t.me/binancethiopia) | [FR 🇫🇷](https://t.me/BinanceFrench) | [ID 🇮🇩](https://t.me/Binance_Academy_ID) | [IN 🇮🇳](https://t.me/BinanceIndian) | [IT 🇮🇹](https://t.me/BinanceItalian) | [KZ 🇰🇿](https://t.me/binance_kz) | [KH 🇰🇭](https://t.me/BinanceKhmer) | [KGZ 🇰🇬](https://t.me/BinanceKyrgyz) | [LA 🇱🇦](https://t.me/BinanceLaotian) | [LK 🇱🇰](https://t.me/binancesrilanka) | [MN 🇲🇳](https://t.me/BinanceMongolian) | [MM 🇲🇲](https://t.me/BinanceBurmese) | [NG 🇳🇬](https://t.me/BinanceNigeria) | [NP 🇳🇵](https://t.me/BinanceNepali) | [PK 🇵🇰](http://t.me/binancepakistani) | [PL 🇵🇱](https://t.me/Binance_Polish) | [RW 🇷🇼](https://t.me/Binance_RwandaBurundi) | [RU 🇷🇺](https://t.me/BinanceRussianSpeaking) | [SA 🇸🇦](https://t.me/BinanceArabic) | [TR 🇹🇷](https://t.me/TRBinanceTR) | [TR 🇹🇷🌍](https://t.me/BinanceTurkish) | [UA 🇺🇦](https://t.me/BinanceUkrainian) | [UAE 🇦🇪](https://t.me/BinanceMENAEnglish) | [UZ 🇺🇿](https://t.me/binance_uz_community) | [VN 🇻🇳](https://t.me/BinanceVietnamese) | [WA 🌍](https://t.me/binancewestafrica) | [ZA 🇿🇦](https://t.me/BinanceSouthAfrica) 

⚠️ If assistance is ever required, please don't hesitate to reach our team of experts [here](https://binance.com/en/chat/).",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044202,6883862975,2026-08-24 07:01:33+00:00,#communities,,,binanceexchange
20044201,2086418073,2026-08-24 07:01:11+00:00,"Don’t use other languages here, for others languages join local communities",,,binanceexchange
20044198,2086418073,2026-08-24 07:00:17+00:00,Good Morning bro💛,,,binanceexchange
20044197,210944655,2026-08-24 06:58:57+00:00,"Combot has warned Geronimo (1)
Reason: Using forbidden words",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044195,1681737450,2026-08-24 06:58:34+00:00,GM,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044194,6883862975,2026-08-24 06:54:48+00:00,How are you,,,binanceexchange
20044193,6690546079,2026-08-24 06:50:35+00:00,Good Morning!!,,,binanceexchange
20044192,7777656733,2026-08-24 06:49:15+00:00,I'm good,,,binanceexchange
20044191,6883862975,2026-08-24 06:49:11+00:00,Good morning ✨️,,"MessageReplies(replies=2, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044194, read_max_id=None)",binanceexchange
20044190,6690546079,2026-08-24 06:49:05+00:00,"I am doing great...
How about you...",,,binanceexchange
20044189,6690546079,2026-08-24 06:48:45+00:00,Good Morning Teresa...,,,binanceexchange
20044188,6690546079,2026-08-24 06:48:44+00:00,,,,binanceexchange
20044187,7777656733,2026-08-24 06:48:16+00:00,how are you sir🫡,,,binanceexchange
20044186,6690546079,2026-08-24 06:47:53+00:00,Good Morning..,,"MessageReplies(replies=1, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044198, read_max_id=None)",binanceexchange
20044185,6690546079,2026-08-24 06:47:52+00:00,,,,binanceexchange
20044184,6690546079,2026-08-24 06:47:06+00:00,Good Morning...,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044183,6690546079,2026-08-24 06:47:06+00:00,,,,binanceexchange
20044182,6690546079,2026-08-24 06:46:33+00:00,Hi Good Morning...,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044181,6690546079,2026-08-24 06:46:29+00:00,,,,binanceexchange
20044180,6690546079,2026-08-24 06:46:09+00:00,Hi Good Morning..,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044179,6690546079,2026-08-24 06:46:08+00:00,,,,binanceexchange
20044178,7206215251,2026-08-24 06:41:31+00:00,Good morning,,"MessageReplies(replies=1, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044188, read_max_id=None)",binanceexchange
20044177,7777656733,2026-08-24 06:40:24+00:00,Good morning Binance,,"MessageReplies(replies=5, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044192, read_max_id=None)",binanceexchange
20044176,5340705899,2026-08-24 06:39:32+00:00,Good morning binancians,,"MessageReplies(replies=1, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044183, read_max_id=None)",binanceexchange
20044174,8089873413,2026-08-24 06:02:29+00:00,What's good about boosting?,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044173,1510649971,2026-08-24 06:01:17+00:00,Hi good morning,,"MessageReplies(replies=1, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044181, read_max_id=None)",binanceexchange
20044172,8089873413,2026-08-24 06:00:22+00:00,Hi!,,"MessageReplies(replies=1, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044179, read_max_id=None)",binanceexchange
20044171,8089873413,2026-08-24 06:00:06+00:00,,,,binanceexchange
20044169,210944655,2026-08-24 05:45:20+00:00,"Check this user `7434634812`, potential spammer.",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044166,210944655,2026-08-24 05:27:48+00:00,"Check this user `8968976419`, potential spammer.",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044165,210944655,2026-08-24 05:27:48+00:00,`8968976419` is spamming with codes.,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044163,5248603048,2026-08-24 05:23:24+00:00,Good morning All,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044161,8012925498,2026-08-24 05:15:13+00:00,"How Binance Security Prevented a $1.2M Governance Attack.

https://www.binance.com/en/blog/security/4927395889973763262?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=EnglishAngels",,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044160,996726400,2026-08-24 05:10:02+00:00,Good morning venky 👀,,,binanceexchange
20044159,6690546079,2026-08-24 05:08:29+00:00,Thanks for Highlighting..,,,binanceexchange
20044158,6690546079,2026-08-24 05:07:50+00:00,Good Morning..,,"MessageReplies(replies=1, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044160, read_max_id=None)",binanceexchange
20044157,6690546079,2026-08-24 05:07:47+00:00,,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044156,1302623431,2026-08-24 05:06:14+00:00,"Good morning 
How are you",,,binanceexchange
20044155,1302623431,2026-08-24 05:05:58+00:00,Aaaah,,,binanceexchange
20044154,210944655,2026-08-24 05:05:08+00:00,"@amanbinance @Aminukano @BNB_ANGEL   @dilipbinance @gajender_BNB   @Kerrbox @Naralion  @QuakeBNB @ReGulus18 @Ribka7  @RACNUTA_BNB @catloverS4

⚠️ **WARNING** - Do **NOT** engage with the user **[Money investment] - [**`7820743515`**]**, wait for moderators intervention.",,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044153,6755663673,2026-08-24 05:05:07+00:00,/report,,,binanceexchange
20044152,6755663673,2026-08-24 05:04:46+00:00,@ReGulus18 sir check this user,,,binanceexchange
20044150,6690546079,2026-08-24 05:03:10+00:00,,,,binanceexchange
20044147,6755663673,2026-08-24 04:49:12+00:00,Good morning 🎉,,,binanceexchange
20044144,8752174244,2026-08-24 04:34:57+00:00,👋,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044143,741798834,2026-08-24 04:23:01+00:00,Good Morning all,,"MessageReplies(replies=2, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044156, read_max_id=None)",binanceexchange
20044142,6600476105,2026-08-24 04:21:40+00:00,Good morning too,,"MessageReplies(replies=1, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=20044150, read_max_id=None)",binanceexchange
20044141,6690546079,2026-08-24 04:18:58+00:00,Good Morning!!,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044140,6690546079,2026-08-24 04:18:47+00:00,,,,binanceexchange
20044139,6755663673,2026-08-24 04:18:03+00:00,Good morning sir...Have a great day... Happy Monday,,,binanceexchange
20044138,5926562042,2026-08-24 04:12:12+00:00,Thank you Sirrr ☺️,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044137,6690546079,2026-08-24 04:11:32+00:00,Wishing you the same..,,,binanceexchange
20044136,2086418073,2026-08-24 04:11:20+00:00,@sunshinebinance,,,binanceexchange
20044135,5926562042,2026-08-24 04:10:41+00:00,How Was the Weekend Sirrr 🤩Have a Fantastic Start of Monday 😎💛,,,binanceexchange
20044134,2086418073,2026-08-24 04:09:14+00:00,Good Morning and Happy new week bro,,,binanceexchange
20044133,6690546079,2026-08-24 04:08:30+00:00,Good Morning Fahad..,,"MessageReplies(replies=0, replies_pts=29768117, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044132,6690546079,2026-08-24 04:08:29+00:00,,,,binanceexchange
20044131,6690546079,2026-08-24 04:08:06+00:00,Good Morning Sajid..,,,binanceexchange
20044130,5926562042,2026-08-24 04:00:02+00:00,"Good Morning beautiful people . New week New opportunity, Have a Great start of Week",,"MessageReplies(replies=4, replies_pts=29768115, comments=False, recent_repliers=[], channel_id=None, max_id=20044137, read_max_id=None)",binanceexchange
20044129,7801049844,2026-08-24 03:55:44+00:00,Good Morning 💛,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044128,6755663673,2026-08-24 03:55:03+00:00,Good morning Binancians 💛,,,binanceexchange
20044127,8028156218,2026-08-24 03:54:13+00:00,Good morning,,"MessageReplies(replies=4, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044140, read_max_id=None)",binanceexchange
20044124,210944655,2026-08-24 03:39:19+00:00,"👩🏼‍💻 ........... ....…......, are you searching for **Customer Support?**

ℹ️ If you encounter problems while using Binance services, you can seek solutions on Binance Live Chat by clicking [HERE ](https://binance.com/en/chat?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=InfoBot)or from the mobile app. The AI bot will suggest solutions based on the information that you provide. 

ℹ️ **To Talk to CS Agent (Human Operator).
**
**Click ""Unsolved"" after bot gave an answer, followed by ""Not relevant"" button and then you get the option ""Transfer to Customer Service""**

ℹ️ You can also search for answers by visiting the [Binance FAQ](https://www.binance.com/en/support/faq?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=InfoBot) page in English; if you still cannot find a solution, please contact a live operator via Binance Live Chat using the guide from [HERE](https://www.binance.com/en/support/faq/how-to-use-binance-support-7b0fd3ccb821483a99ff8f5cda374ee9?ref=UE06QWNK&utm_source=EnglishTelegram&utm_medium=GlobalCommunity&utm_campaign=InfoBot).

⚠️ Ignore any form of private messages, administrators or angels will NEVER contact you via a private message. Choosing to answer any **private messages** represents a high **security risk**. Block and ignore any requests!",,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044123,6753988569,2026-08-24 03:39:18+00:00,#support,,,binanceexchange
20044122,5159062569,2026-08-24 03:37:21+00:00,"It has now been almost two months, and I have provided all the requested videos, photos, ID verification, wallet-control evidence, and transaction details.",,"MessageReplies(replies=1, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=20044123, read_max_id=None)",binanceexchange
20044121,5461871111,2026-08-24 03:37:03+00:00,GM 🔆,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
20044120,210944655,2026-08-24 03:36:49+00:00,`5159062569` might be spamming with codes.,,"MessageReplies(replies=0, replies_pts=29768118, comments=False, recent_repliers=[], channel_id=None, max_id=None, read_max_id=None)",binanceexchange
